stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
322,Cobble Hill,Brooklyn,11201,Clinton St & Tillary St,40.696192,-73.991218,66
259,Financial District,Manhattan,10004,South St & Whitehall St,40.70122128,-74.01234218,121
314,,Brooklyn,11231,Montague St & Clinton St,40.69424674,-73.99215922,64
146,Manhattan Community Board 1,Manhattan,10014,Hudson St & Reade St,40.71625008,-74.0091059,122
229,Manhattan Community Board 2,Manhattan,10012,Great Jones St,40.72743423,-73.99379025,209
295,Manhattan Community Board 3,Manhattan,10002,Pike St & E Broadway,40.71406667,-73.99293911,74
258,Clinton Hill,Brooklyn,11221,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,54
248,Manhattan Community Board 1,Manhattan,10013,Laight St & Hudson St,40.72185379,-74.00771779,47
144,Brooklyn Navy Yard,Brooklyn,11251,Nassau St & Navy St,40.69839895,-73.98068914,22
399,Clinton Hill,Brooklyn,11205,Lafayette Ave & St James Pl,40.68851534,-73.9647628,35
480,Clinton,Manhattan,10019,W 53 St & 10 Ave,40.76669671,-73.99061728,130
280,Greenwich Village,Manhattan,10009,E 10 St & 5 Ave,40.73331967,-73.99510132,170
398,Columbia Street Waterfront District,Brooklyn,11201,Atlantic Ave & Furman St,40.69165183,-73.9999786,93
308,Civic Center,Manhattan,10038,St James Pl & Oliver St,40.71307916,-73.99851193,75
386,Manhattan Community Board 1,Manhattan,10013,Centre St & Worth St,40.71494807,-74.00234482,118
482,Manhattan Community Board 4,Manhattan,10011,W 15 St & 7 Ave,40.73935542,-73.99931783,222
437,Bedford-Stuyvesant,Brooklyn,11233,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,22
387,Manhattan Community Board 1,Manhattan,10000,Centre St & Chambers St,40.71273266,-74.0046073,277
120,Clinton Hill,Brooklyn,11221,Lexington Ave & Classon Ave,40.68676793,-73.95928168,24
