stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
216,Dumbo,Brooklyn,11242,Columbia Heights & Cranberry St,40.70037867,-73.99548059,50
467,,Brooklyn,11213,Dean St & 4 Ave,40.68312489,-73.97895137,80
297,Gramercy,Manhattan,10003,E 15 St & 3 Ave,40.734232,-73.986923,150
382,Manhattan Community Board 2,Manhattan,10003,University Pl & E 14 St,40.73492695,-73.99200509,405
324,,Brooklyn,11221,DeKalb Ave & Hudson Ave,40.689888,-73.981013,68
2012,Manhattan Community Board 6,Manhattan,10016,E 27 St & 1 Ave,40.739445,-73.976806,92
383,Manhattan Community Board 2,Manhattan,10014,Greenwich Ave & Charles St,40.735238,-74.000271,124
501,Murray Hill,Manhattan,10016,FDR Drive & E 35 St,40.744219,-73.97121214,163
259,Financial District,Manhattan,10004,South St & Whitehall St,40.70122128,-74.01234218,113
270,,Brooklyn,11238,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,55
461,Manhattan Community Board 6,Manhattan,10009,E 20 St & 2 Ave,40.73587678,-73.98205027,210
306,Manhattan Community Board 1,Manhattan,10038,Cliff St & Fulton St,40.70823502,-74.00530063,149
466,Flatiron District,Manhattan,10001,W 25 St & 6 Ave,40.74395411,-73.99144871,252
349,Lower East Side,Manhattan,10002,Rivington St & Ridge St,40.71850211,-73.98329859,78
320,Manhattan Community Board 1,Manhattan,10013,Church St & Leonard St,40.71743998,-74.00583475,119
233,,Brooklyn,11207,Joralemon St & Adams St,40.69246277,-73.98963911,109
291,Lower East Side,Manhattan,10002,Madison St & Montgomery St,40.713126,-73.984844,78
195,Manhattan Community Board 1,Manhattan,10005,Liberty St & Broadway,40.70905623,-74.01043382,186
534,Financial District,Manhattan,10004,Water - Whitehall Plaza,40.70255065,-74.0127234,73
392,,Brooklyn,11201,Jay St & Tech Pl,40.695065,-73.987167,35
79,Manhattan Community Board 1,Manhattan,10013,Franklin St & W Broadway,40.71911552,-74.00666661,139
502,Manhattan Community Board 3,Manhattan,10002,Henry St & Grand St,40.714215,-73.981346,94
444,Manhattan Community Board 5,Manhattan,10019,Broadway & W 24 St,40.7423543,-73.98915076,342
224,Manhattan Community Board 1,Manhattan,10038,Spruce St & Nassau St,40.71146364,-74.00552427,130
367,Manhattan Community Board 6,Manhattan,10022,E 53 St & Lexington Ave,40.75828065,-73.97069431,148
146,Manhattan Community Board 1,Manhattan,10014,Hudson St & Reade St,40.71625008,-74.0091059,133
531,Manhattan Community Board 3,Manhattan,10002,Forsyth St & Broome St,40.71893904,-73.99266288,178
311,Manhattan Community Board 3,Manhattan,10002,Norfolk St & Broome St,40.7172274,-73.98802084,135
225,Meatpacking District,Manhattan,10014,W 14 St & The High Line,40.74195138,-74.00803013,138
350,Manhattan Community Board 3,Manhattan,10002,Clinton St & Grand St,40.71559509,-73.9870295,118
295,Manhattan Community Board 3,Manhattan,10002,Pike St & E Broadway,40.71406667,-73.99293911,84
416,,Brooklyn,11238,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,46
456,Manhattan Community Board 5,Manhattan,10055,E 53 St & Madison Ave,40.7597108,-73.97402311,156
397,,Brooklyn,11207,Fulton St & Clermont Ave,40.68415748,-73.96922273,23
497,Manhattan Community Board 5,Manhattan,10010,E 17 St & Broadway,40.73704984,-73.99009296,496
312,Manhattan Community Board 3,Manhattan,10002,Allen St & E Houston St,40.722055,-73.989111,164
335,Washington Square Village,Manhattan,10011,Washington Pl & Broadway,40.72903917,-73.99404649,187
532,,Brooklyn,11249,S 5 Pl & S 4 St,40.710451,-73.960876,122
238,Manhattan Community Board 2,Manhattan,10014,Bank St & Washington St,40.7361967,-74.00859207,151
529,Manhattan Community Board 4,Manhattan,10036,W 42 St & 8 Ave,40.7575699,-73.99098507,151
268,Manhattan Community Board 2,Manhattan,10013,Howard St & Centre St,40.71910537,-73.99973337,207
328,Manhattan Community Board 1,Manhattan,10005,Watts St & Greenwich St,40.72405549,-74.00965965,179
237,Manhattan Community Board 3,Manhattan,10003,E 11 St & 2 Ave,40.73047309,-73.98672378,244
533,Garment District,Manhattan,,Broadway & W 39 St,40.75299641,-73.98721619,150
276,Manhattan Community Board 1,Manhattan,10013,Duane St & Greenwich St,40.71748752,-74.0104554,108
310,,Brooklyn,11208,State St & Smith St,40.68926942,-73.98912867,107
264,Manhattan Community Board 1,Manhattan,10038,Maiden Ln & Pearl St,40.70706456,-74.00731853,162
82,Manhattan Community Board 3,Manhattan,10038,St James Pl & Pearl St,40.71117416,-74.00016545,71
332,Lower East Side,Manhattan,10002,Cherry St,40.71219906,-73.97948148,74
266,East Village,Manhattan,10009,Avenue D & E 8 St,40.72368361,-73.97574813,35
334,Manhattan Community Board 4,Manhattan,10011,W 20 St & 7 Ave,40.74238787,-73.99726235,263
481,,Brooklyn,11249,S 3 St & Bedford Ave,40.71260486,-73.96264403,55
513,Manhattan Community Board 4,Manhattan,10019,W 56 St & 10 Ave,40.768254,-73.988639,100
300,Manhattan Community Board 3,Manhattan,10003,Shevchenko Pl & E 6 St,40.728145,-73.990214,127
430,Dumbo,Brooklyn,11251,York St & Jay St,40.7014851,-73.98656928,108
403,Manhattan Community Board 3,Manhattan,10012,E 2 St & 2 Ave,40.72502876,-73.99069656,140
304,Financial District,Manhattan,10275,Broadway & Battery Pl,40.70463334,-74.01361706,140
465,Garment District,Manhattan,,Broadway & W 41 St,40.75513557,-73.98658032,193
522,Manhattan Community Board 5,Manhattan,10022,E 51 St & Lexington Ave,40.75714758,-73.97207836,140
396,,Brooklyn,11216,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,51
152,Manhattan Community Board 1,Manhattan,10007,Warren St & Church St,40.71473993,-74.00910627,152
298,,Brooklyn,11227,3 Ave & Schermerhorn St,40.68683208,-73.9796772,15
2004,Manhattan Community Board 2,Manhattan,10005,6 Ave & Broome St,40.724399,-74.004704,63
137,Manhattan Community Board 5,Manhattan,10022,E 56 St & Madison Ave,40.761628,-73.972924,98
500,Manhattan Community Board 5,Manhattan,10019,Broadway & W 51 St,40.76228826,-73.98336183,173
229,Manhattan Community Board 2,Manhattan,10012,Great Jones St,40.72743423,-73.99379025,182
2023,Manhattan Community Board 5,Manhattan,10022,E 55 St & Lexington Ave,40.75968085,-73.97031366,81
263,Manhattan Community Board 2,Manhattan,10013,Elizabeth St & Hester St,40.71729,-73.996375,176
395,Boerum Hill,Kings County,11217,Bond St & Schermerhorn St,40.68807003,-73.98410637,64
516,Manhattan Community Board 6,Manhattan,,E 47 St & 1 Ave,40.75206862,-73.96784384,32
325,Manhattan Community Board 6,Manhattan,10003,E 19 St & 3 Ave,40.73624527,-73.98473765,194
2003,Manhattan Community Board 6,Manhattan,10010,1 Ave & E 18 St,40.73416059,-73.98024289,163
232,,Brooklyn,11201,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,66
354,Clinton Hill,Brooklyn,11205,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,34
83,,Brooklyn,11208,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,83
419,,Brooklyn,11205,Carlton Ave & Park Ave,40.69580705,-73.97355569,55
441,Manhattan Community Board 6,Manhattan,10022,E 52 St & 2 Ave,40.756014,-73.967416,104
